Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2011-094T11:50:09.0222Z [Apr 04] ( 25.311,  90.775)      67609           451       6      11    76240
2011-094T11:50:09.2569Z [Apr 04] ( 23.306,  88.132)     147769           177       7      22    76240
2011-094T11:50:09.3323Z [Apr 04] ( 23.416,  88.066)     212217           467      11      30    76240
2011-094T11:50:09.7549Z [Apr 04] ( 25.433,  90.797)     279669            92      10      30    76240
2011-094T11:50:09.9031Z [Apr 04] ( 23.087,  87.784)      61234           100       3      10    76240
2011-094T11:50:10.0267Z [Apr 04] ( 23.333,  88.085)      67536           395       7      11    76240
2011-094T11:50:10.3508Z [Apr 04] ( 23.220,  87.997)     137126           207       9      23    76240
2011-094T11:50:10.8865Z [Apr 04] ( 25.343,  90.653)     517881           519      13      44    76240
2011-094T11:50:11.2031Z [Apr 04] ( 24.064,  89.482)    1396881           180      23     100    76240
2011-094T11:50:11.8262Z [Apr 04] ( 23.491,  88.330)     127951           263       3      13    76240
2011-094T11:50:11.9106Z [Apr 04] ( 23.354,  88.032)     162996           579      11      21    76240
2011-094T11:50:12.7755Z [Apr 04] ( 22.762,  87.507)      56982           187       2       7    76240
2011-094T11:50:12.8594Z [Apr 04] ( 23.832,  88.899)      65324            96       4      10    76240
2011-094T11:50:13.0116Z [Apr 04] ( 23.382,  87.992)      67379            55       2       9    76240
2011-094T11:50:13.0332Z [Apr 04] ( 23.604,  88.316)    2170054           726      37     208    76240
2011-094T11:50:13.0634Z [Apr 04] ( 23.761,  89.097)      38419            89       2       7    76240
2011-094T11:50:14.1845Z [Apr 04] ( 25.104,  90.901)    1418885           827      47     148    76240
2011-094T11:50:15.2086Z [Apr 04] ( 23.338,  88.090)     117856           350       7      18    76240
2011-094T11:50:15.4930Z [Apr 04] ( 24.374,  89.697)     475587           182      14      45    76240
2011-094T11:50:15.5237Z [Apr 04] ( 23.154,  87.917)     961746           342      14      86    76240
2011-094T11:50:15.7257Z [Apr 04] ( 25.512,  90.739)      44324            11       2       6    76240
2011-094T11:50:16.0035Z [Apr 04] ( 25.255,  90.789)      40785           157       4       4    76240
2011-094T11:50:16.2382Z [Apr 04] ( 23.364,  88.039)     123011           384       8      18    76240
2011-094T11:50:16.2488Z [Apr 04] ( 25.392,  90.622)     305667           214       8      30    76240
2011-094T11:50:16.3563Z [Apr 04] ( 23.643,  88.437)    2478514          1079      55     195    76240
2011-094T11:50:16.5261Z [Apr 04] ( 23.193,  87.990)      36554            66       2       6    76240
2011-094T11:50:16.8236Z [Apr 04] ( 23.620,  88.548)     178389           296       5      17    76240
2011-094T11:50:17.0633Z [Apr 04] ( 23.250,  88.028)     377396           275       8      23    76240
2011-094T11:50:17.1603Z [Apr 04] ( 23.679,  88.613)    1118477           402      19      99    76240
2011-094T11:50:17.4161Z [Apr 04] ( 25.310,  90.793)      47975           222       3       9    76240
2011-094T11:50:17.4679Z [Apr 04] ( 24.948,  90.684)      80265           147       4       9    76240
2011-094T11:50:17.5789Z [Apr 04] ( 22.897,  87.618)     121313           213       4      17    76240
2011-094T11:50:17.7508Z [Apr 04] ( 23.803,  88.893)     357069           213       6      37    76240
2011-094T11:50:18.7196Z [Apr 04] ( 23.936,  89.082)     292423           252       6      41    76240
2011-094T11:50:18.7518Z [Apr 04] ( 23.009,  87.720)      33088            62       2       7    76240
2011-094T11:50:19.0920Z [Apr 04] ( 23.067,  87.597)      86989            75       2      12    76240
2011-094T11:50:19.3035Z [Apr 04] ( 23.334,  88.134)    1934748           506      33     160    76240
2011-094T11:50:19.3909Z [Apr 04] ( 24.075,  88.652)     287401           855      11      50    76240
2011-094T11:50:19.4914Z [Apr 04] ( 25.429,  90.718)     413362           171      13      35    76240
2011-094T11:50:19.5271Z [Apr 04] ( 24.358,  89.669)     693076           358      17      59    76240
2011-094T11:50:19.9764Z [Apr 04] ( 23.768,  88.571)    1830093           539      42     182    76240
2011-094T11:50:20.5779Z [Apr 04] ( 24.072,  89.512)      51497            55       2       5    76240
2011-094T11:50:20.6965Z [Apr 04] ( 24.998,  90.864)      88449            39       2       9    76240
2011-094T11:50:20.8251Z [Apr 04] ( 23.062,  87.672)      34340           141       2       6    76240
2011-094T11:50:21.0045Z [Apr 04] ( 23.292,  88.003)      60487           130       4      11    76240
2011-094T11:50:21.0633Z [Apr 04] ( 25.165,  90.620)      35050            78       2       6    76240
2011-094T11:50:21.0743Z [Apr 04] ( 25.009,  90.666)     500252           341       8      50    76240
2011-094T11:50:21.0919Z [Apr 04] ( 23.233,  87.982)     176671           338      10      29    76240
2011-094T11:50:21.4020Z [Apr 04] ( 23.838,  88.991)     671456           479      19      75    76240
2011-094T11:50:21.4628Z [Apr 04] ( 23.888,  88.639)     404930           468      17      57    76240
2011-094T11:50:21.4804Z [Apr 04] ( 24.005,  89.450)     200555           155      12      28    76240
2011-094T11:50:21.5844Z [Apr 04] ( 23.374,  87.976)     938423           352      21     110    76240
2011-094T11:50:21.6668Z [Apr 04] ( 24.428,  89.664)    2004738           764      53     174    76240
2011-094T11:50:21.7206Z [Apr 04] ( 23.157,  87.890)      66991           372       7      14    76240
2011-094T11:50:22.0608Z [Apr 04] ( 23.524,  88.332)    1148598           490      35     134    76240
2011-094T11:50:22.1020Z [Apr 04] ( 23.251,  88.139)     104294           322       6      16    76240
2011-094T11:50:22.1236Z [Apr 04] ( 23.887,  89.236)     224880           331       7      31    76240
2011-094T11:50:22.1969Z [Apr 04] ( 23.345,  88.060)     254486           558      15      39    76240
2011-094T11:50:22.2899Z [Apr 04] ( 23.582,  88.407)     223558           254       7      29    76240
2011-094T11:50:22.3402Z [Apr 04] ( 25.018,  90.622)      95581             1       2      11    76240
2011-094T11:50:22.4673Z [Apr 04] ( 25.470,  90.844)      35858            69       4       7    76240
2011-094T11:50:22.5532Z [Apr 04] ( 24.247,  89.495)     317729           410      15      42    76240
2011-094T11:50:22.7678Z [Apr 04] ( 23.458,  88.219)     108076           104       3      17    76240
2011-094T11:50:23.5844Z [Apr 04] ( 25.140,  90.737)      38821            19       2       6    76240
2011-094T11:50:23.9587Z [Apr 04] ( 25.515,  90.804)     226637           442       8      27    76240
2011-094T11:50:24.7914Z [Apr 04] ( 23.621,  88.450)     576509           348      17      66    76240
2011-094T11:50:24.9416Z [Apr 04] ( 24.663,  90.457)     251009           132       7      21    76240
2011-094T11:50:25.0220Z [Apr 04] ( 23.666,  89.055)      96351            94       4      15    76240
2011-094T11:50:25.1044Z [Apr 04] ( 23.080,  87.686)      86936           145       4      16    76240
2011-094T11:50:25.1723Z [Apr 04] ( 23.224,  88.081)     204844           155       4      27    76240
2011-094T11:50:25.2085Z [Apr 04] ( 24.944,  90.642)      64689            39       4       8    76240
2011-094T11:50:25.2959Z [Apr 04] ( 24.234,  89.433)     495255           517      16      48    76240
2011-094T11:50:25.3964Z [Apr 04] ( 23.160,  87.800)     104217           279       3      17    76240
2011-094T11:50:25.4376Z [Apr 04] ( 23.051,  87.830)     272711           361      11      35    76240
2011-094T11:50:25.4466Z [Apr 04] ( 23.215,  87.961)     127426           182       6      16    76240
2011-094T11:50:25.6235Z [Apr 04] ( 23.392,  88.102)     359093           822      16      48    76240
2011-094T11:50:25.8009Z [Apr 04] ( 24.276,  89.952)     305735           215      10      28    76240
2011-094T11:50:25.9657Z [Apr 04] ( 25.369,  90.680)     334390           191      10      28    76240
2011-094T11:50:26.1125Z [Apr 04] ( 23.368,  88.042)     140395           486       5      20    76240
2011-094T11:50:26.1195Z [Apr 04] ( 24.982,  90.808)      32847            73       3       6    76240
2011-094T11:50:26.7210Z [Apr 04] ( 23.645,  88.538)      52537           201       7      11    76240
2011-094T11:50:26.7300Z [Apr 04] ( 23.907,  88.991)     437813           478      10      51    76240
2011-094T11:50:26.7517Z [Apr 04] ( 22.900,  87.646)      87977            78       5      17    76240
2011-094T11:50:26.7858Z [Apr 04] ( 23.927,  88.952)     692161           374      13      74    76240
2011-094T11:50:26.9682Z [Apr 04] ( 23.191,  88.043)     326435           232      11      41    76240
2011-094T11:50:26.9793Z [Apr 04] ( 24.989,  90.733)       4966             0       1       1    76240
2011-094T11:50:27.0778Z [Apr 04] ( 24.451,  89.765)    1653439           803      45     121    76240
2011-094T11:50:27.4034Z [Apr 04] ( 25.076,  90.824)      94070           313       6      14    76240
2011-094T11:50:27.6185Z [Apr 04] ( 24.958,  90.673)      50573           119       4       7    76240
2011-094T11:50:27.8511Z [Apr 04] ( 23.440,  88.032)     726953           521      20      94    76240
2011-094T11:50:28.1180Z [Apr 04] ( 23.271,  88.008)      94448            42       3      13    76240
2011-094T11:50:28.1355Z [Apr 04] ( 25.299,  90.787)      43643            18       3       6    76240
2011-094T11:50:28.1536Z [Apr 04] ( 23.477,  88.275)     118540           136      10      22    76240
2011-094T11:50:28.3149Z [Apr 04] ( 25.001,  90.654)     356487           327      14      47    76240
2011-094T11:50:28.4436Z [Apr 04] ( 23.512,  88.256)     847893           488      13      85    76240
2011-094T11:50:28.8984Z [Apr 04] ( 23.602,  88.356)     657391           381      24      93    76240
2011-094T11:50:28.9200Z [Apr 04] ( 23.142,  87.903)     102850            98       6      20    76240
2011-094T11:50:29.1672Z [Apr 04] ( 23.323,  88.108)      54310            96       4      10    76240
2011-094T11:50:29.3622Z [Apr 04] ( 25.131,  90.696)     283521           426      11      29    76240
2011-094T11:50:29.8401Z [Apr 04] ( 22.990,  87.679)     166554           250       9      28    76240
2011-094T11:50:30.0481Z [Apr 04] ( 23.723,  88.506)    1954244           759      46     188    76240
2011-094T11:50:30.1340Z [Apr 04] ( 23.349,  88.069)     114400           112       4      14    76240
2011-094T11:50:30.1431Z [Apr 04] ( 23.829,  88.922)     496814           318      17      60    76240
2011-094T11:50:30.2541Z [Apr 04] ( 25.415,  90.666)     258132           461      15      36    76240
2011-094T11:50:30.3255Z [Apr 04] ( 25.313,  90.718)      38548           345       4       7    76240
2011-094T11:50:30.8501Z [Apr 04] ( 25.051,  90.780)      54147            34       3       7    76240
2011-094T11:50:30.9039Z [Apr 04] ( 25.211,  90.719)      42226           127       2       8    76240
2011-094T11:50:31.6632Z [Apr 04] ( 25.333,  90.646)      69702           134       4      12    76240
2011-094T11:50:31.7023Z [Apr 04] ( 23.370,  88.128)     179231           528      10      31    76240
2011-094T11:50:32.0425Z [Apr 04] ( 23.977,  89.081)     623804           254      10      57    76240
2011-094T11:50:32.1410Z [Apr 04] ( 23.630,  88.410)    1229987           326      25     109    76240
2011-094T11:50:32.4687Z [Apr 04] ( 24.969,  90.721)      19591             2       2       2    76240
2011-094T11:50:32.5742Z [Apr 04] ( 23.240,  88.019)      49703           193       4      10    76240
2011-094T11:50:33.3908Z [Apr 04] ( 23.211,  88.035)      46523            75       3       7    76240
2011-094T11:50:33.4998Z [Apr 04] ( 23.493,  87.572)    1331038           437      49     210    76240
2011-094T11:50:33.5787Z [Apr 04] ( 23.687,  88.613)      45422            14       3       7    76240
2011-094T11:50:33.6109Z [Apr 04] ( 23.364,  88.055)     189190           510      21      36    76240
2011-094T11:50:33.6737Z [Apr 04] ( 23.633,  87.606)       4661             0       1       1    76240
2011-094T11:50:33.9174Z [Apr 04] ( 23.815,  88.839)      78058           167       3      10    76240
2011-094T11:50:33.9244Z [Apr 04] ( 23.534,  88.314)     733284           399      25      89    76240
2011-094T11:50:34.1963Z [Apr 04] ( 23.657,  87.577)      12203             0       1       3    76240
2011-094T11:50:34.2124Z [Apr 04] ( 23.497,  87.788)     515573           170       6      43    76240
2011-094T11:50:34.2234Z [Apr 04] ( 23.410,  87.796)     865939           368      13      84    76240
2011-094T11:50:34.3058Z [Apr 04] ( 23.608,  87.831)    1209886           743      18     151    76240
2011-094T11:50:34.5978Z [Apr 04] ( 23.167,  87.506)      80302            17       2      11    76240
2011-094T11:50:34.7676Z [Apr 04] ( 23.750,  87.915)    4900391          1870      63     592    76240
2011-094T11:50:34.7892Z [Apr 04] ( 23.179,  87.890)     526077           372      10      58    76240
2011-094T11:50:34.8269Z [Apr 04] ( 23.142,  87.655)      20985           119       3       5    76240
2011-094T11:50:35.2134Z [Apr 04] ( 24.901,  90.795)     121920           191       6      16    76240
2011-094T11:50:35.2706Z [Apr 04] ( 23.791,  89.107)      87806           159       4      15    76240
2011-094T11:50:35.7204Z [Apr 04] ( 23.337,  88.081)      39208            87       3       7    76240
2011-094T11:50:36.3058Z [Apr 04] ( 25.023,  90.798)     226559           282       8      26    76240
2011-094T11:50:36.6405Z [Apr 04] ( 23.222,  87.997)      83917           200       5      13    76240
2011-094T11:50:36.9576Z [Apr 04] ( 25.387,  90.694)      97197           463       7      14    76240
2011-094T11:50:37.5696Z [Apr 04] ( 25.302,  90.740)      31890           315       3       6    76240
2011-094T11:50:37.8420Z [Apr 04] ( 23.401,  88.059)    1115761          1097      32     140    76240
2011-094T11:50:37.8475Z [Apr 04] ( 23.846,  88.892)     176737           271       7      22    76240
2011-094T11:50:38.0907Z [Apr 04] ( 25.031,  90.626)      82990           107       3      12    76240
2011-094T11:50:38.2912Z [Apr 04] ( 25.084,  90.894)    1776512           933      27     167    76240
2011-094T11:50:38.3344Z [Apr 04] ( 23.261,  88.019)     840690           366      17      80    76240
2011-094T11:50:38.4847Z [Apr 04] ( 23.637,  89.043)      12594             0       1       2    76240
2011-094T11:50:38.5279Z [Apr 04] ( 25.145,  90.756)      28060             0       1       2    76240
2011-094T11:50:38.6264Z [Apr 04] ( 24.349,  89.738)     335721           207      10      30    76240
2011-094T11:50:38.7033Z [Apr 04] ( 25.179,  90.832)      19178            83       2       4    76240
2011-094T11:50:38.7319Z [Apr 04] ( 25.194,  90.766)      13980           230       2       2    76240
2011-094T11:50:39.0827Z [Apr 04] ( 23.505,  88.318)     175635           317       7      23    76240
2011-094T11:50:39.1023Z [Apr 04] ( 23.008,  87.600)     105166           159       6      17    76240
2011-094T11:50:39.1133Z [Apr 04] ( 23.616,  88.432)    2559771           672      42     177    76240
2011-094T11:50:39.3440Z [Apr 04] ( 24.935,  90.713)      21015            62       2       3    76240
2011-094T11:50:39.7002Z [Apr 04] ( 25.534,  90.529)      80352            12       8      12    76240
2011-094T11:50:39.9957Z [Apr 04] ( 25.564,  90.702)       5539             0       1       1    76240
2011-094T11:50:40.0726Z [Apr 04] ( 25.064,  90.635)      11312             0       1       2    76240
2011-094T11:50:40.1354Z [Apr 04] ( 23.369,  88.154)     549354           132       7      28    76240
2011-094T11:50:40.2143Z [Apr 04] ( 25.546,  90.549)     297537             7       5      32    76240
2011-094T11:50:40.2645Z [Apr 04] ( 25.244,  90.772)       8994             0       1       2    76240
2011-094T11:50:40.4847Z [Apr 04] ( 24.962,  90.716)     203896           180       6      18    76240
2011-094T11:50:40.4992Z [Apr 04] ( 23.013,  87.729)      32607            60       2       6    76240
2011-094T11:50:40.8234Z [Apr 04] ( 23.274,  87.506)     126279           336      10      23    76240
2011-094T11:50:40.8304Z [Apr 04] ( 23.946,  89.080)     162452           309       8      25    76240
2011-094T11:50:40.8947Z [Apr 04] ( 23.788,  88.628)     147384           143       4      18    76240
2011-094T11:50:41.0324Z [Apr 04] ( 23.346,  88.095)      34761            18       2       7    76240
2011-094T11:50:41.0826Z [Apr 04] ( 25.687,  91.019)     733693           870      36     112    76240
2011-094T11:50:41.3600Z [Apr 04] ( 25.608,  91.085)    2638477          1359      44     246    76240
2011-094T11:50:41.4319Z [Apr 04] ( 23.217,  88.056)     135754           266       5      20    76240
2011-094T11:50:41.4801Z [Apr 04] ( 23.571,  88.323)     598232           154      21      68    76240
2011-094T11:50:41.6967Z [Apr 04] ( 25.327,  90.829)      52828           168       5       8    76240
2011-094T11:50:41.7078Z [Apr 04] ( 24.962,  90.673)    1578744           398      21     126    76240
2011-094T11:50:41.8525Z [Apr 04] ( 25.342,  90.669)      93259            66       4      11    76240
2011-094T11:50:41.9655Z [Apr 04] ( 25.601,  91.163)    2567881          1258      90     299    76240
2011-094T11:50:41.9796Z [Apr 04] ( 23.566,  88.329)     420082            64       4      29    76240
2011-094T11:50:42.0103Z [Apr 04] ( 23.090,  87.662)      25205           248       2       5    76240
2011-094T11:50:42.2198Z [Apr 04] ( 25.043,  90.637)      85469             0       1       9    76240
2011-094T11:50:42.4148Z [Apr 04] ( 23.808,  88.896)     166901           213       7      29    76240
2011-094T11:50:42.5992Z [Apr 04] ( 23.301,  88.093)     164735           406      13      31    76240
2011-094T11:50:42.7424Z [Apr 04] ( 23.169,  87.886)     141852           123       8      26    76240
2011-094T11:50:42.8339Z [Apr 04] ( 25.448,  90.815)      18143           121       2       3    76240
2011-094T11:50:42.9072Z [Apr 04] ( 25.562,  91.278)      81164           177       5      14    76240
2011-094T11:50:42.9520Z [Apr 04] ( 23.656,  88.563)      54655            94       3      11    76240
2011-094T11:50:43.0630Z [Apr 04] ( 25.235,  90.772)      49019           272       6       9    76240
2011-094T11:50:43.1615Z [Apr 04] ( 23.218,  88.005)      36380             0       1       4    76240
2011-094T11:50:43.3781Z [Apr 04] ( 23.888,  89.317)     113380           170       2      16    76240
2011-094T11:50:43.3906Z [Apr 04] ( 24.264,  90.005)     192612           152       7      21    76240
2011-094T11:50:43.4102Z [Apr 04] ( 24.404,  89.721)     121273           342      10      20    76240
2011-094T11:50:43.7022Z [Apr 04] ( 22.778,  87.526)      80547            58       6      12    76240
2011-094T11:50:43.7329Z [Apr 04] ( 25.100,  90.735)     110968            90       4       9    76240
2011-094T11:50:43.8077Z [Apr 04] ( 25.310,  90.746)       4333             0       1       1    76240
2011-094T11:50:44.1675Z [Apr 04] ( 22.935,  87.632)      29397            36       3       7    76240
2011-094T11:50:44.2841Z [Apr 04] ( 23.365,  88.069)     154591           275      11      27    76240
2011-094T11:50:44.3469Z [Apr 04] ( 23.234,  88.003)      46203           259       4       9    76240
2011-094T11:50:44.5580Z [Apr 04] ( 23.192,  88.013)       4661             0       1       1    76240
2011-094T11:50:44.6550Z [Apr 04] ( 23.804,  88.549)      48554           119       6      10    76240
2011-094T11:50:44.6906Z [Apr 04] ( 23.813,  88.511)    1180106           599      18     103    76240
2011-094T11:50:45.1258Z [Apr 04] ( 23.385,  87.980)      47901           176       5      10    76240
2011-094T11:50:45.1489Z [Apr 04] ( 23.621,  88.396)     208238           445      10      32    76240
2011-094T11:50:45.5856Z [Apr 04] ( 23.707,  88.553)    1597963           537      21     103    76240
2011-094T11:50:46.0564Z [Apr 04] ( 23.270,  88.188)      68079           198       4      13    76240
2011-094T11:50:46.0765Z [Apr 04] ( 25.113,  90.826)      26740             0       1       3    76240
2011-094T11:50:46.0906Z [Apr 04] ( 25.272,  90.770)      43373             0       1       4    76240
2011-094T11:50:46.1946Z [Apr 04] ( 23.839,  88.958)    1090679           499      30     103    76240
2011-094T11:50:46.2017Z [Apr 04] ( 25.059,  90.828)     102173           334       4      12    76240
2011-094T11:50:46.3218Z [Apr 04] ( 23.354,  88.101)      81957            71       3      10    76240
2011-094T11:50:47.0434Z [Apr 04] ( 25.451,  90.774)     182707           382      11      23    76240
2011-094T11:50:47.1308Z [Apr 04] ( 24.414,  89.599)     794387           412      31     107    76240
2011-094T11:50:47.1665Z [Apr 04] ( 25.362,  90.777)     109936           191       6      16    76240
2011-094T11:50:47.2956Z [Apr 04] ( 24.951,  90.781)      30712             0       1       3    76240
2011-094T11:50:47.3976Z [Apr 04] ( 24.980,  90.685)      61238             0       1       7    76240
2011-094T11:50:47.4981Z [Apr 04] ( 23.407,  88.056)     289713           372      16      45    76240
2011-094T11:50:47.9383Z [Apr 04] ( 24.898,  90.819)     132635            78       3      14    76240
2011-094T11:50:48.0564Z [Apr 04] ( 22.889,  87.646)      72942           164       3       9    76240
2011-094T11:50:48.1373Z [Apr 04] ( 23.516,  88.259)     640739           707      22      72    76240
2011-094T11:50:48.1820Z [Apr 04] ( 25.226,  90.840)      90885            89       3      10    76240
2011-094T11:50:48.1820Z [Apr 04] ( 23.210,  87.646)     123892             9       2      15    76240
2011-094T11:50:48.4861Z [Apr 04] ( 23.034,  87.633)      72501           145       6      13    76240
2011-094T11:50:49.1132Z [Apr 04] ( 24.156,  89.560)    1600215           586      22     114    76240
2011-094T11:50:49.4745Z [Apr 04] ( 23.181,  87.899)    1024040           759      24     108    76240
2011-094T11:50:49.4835Z [Apr 04] ( 25.025,  90.895)      80328            59       3      12    76240
2011-094T11:50:50.8589Z [Apr 04] ( 24.218,  89.462)     772137           553      28      85    76240
2011-094T11:50:51.6106Z [Apr 04] ( 24.056,  88.962)      55842            19       4      10    76240
2011-094T11:50:51.6875Z [Apr 04] ( 23.915,  88.989)      87861           177       4      15    76240
2011-094T11:50:51.8222Z [Apr 04] ( 23.839,  89.080)     487065            48      11      55    76240
2011-094T11:50:51.9815Z [Apr 04] ( 23.648,  88.462)    1168609           459      35     134    76240
2011-094T11:50:52.1548Z [Apr 04] ( 23.982,  89.463)     331738           317      10      37    76240
2011-094T11:50:52.6423Z [Apr 04] ( 23.653,  89.085)      88208           187       5      14    76240
2011-094T11:50:52.8513Z [Apr 04] ( 23.835,  88.906)     288650           184       5      26    76240
2011-094T11:50:52.9071Z [Apr 04] ( 23.385,  88.040)      93677           201       6      16    76240
2011-094T11:50:53.0036Z [Apr 04] ( 25.403,  90.640)     438973           442      35      57    76240
2011-094T11:50:53.0805Z [Apr 04] ( 23.354,  88.123)      38416           182       2       6    76240
2011-094T11:50:53.1327Z [Apr 04] ( 24.019,  89.106)    2533055           492      27     142    76240
2011-094T11:50:53.1971Z [Apr 04] ( 24.946,  90.801)     138087            92       4      13    76240
2011-094T11:50:53.2453Z [Apr 04] ( 24.892,  90.763)      52692           225       4       9    76240
2011-094T11:50:53.3367Z [Apr 04] ( 23.589,  88.365)     251447           231      12      35    76240
2011-094T11:50:53.4604Z [Apr 04] ( 23.265,  88.131)      50006            96       2       9    76240
2011-094T11:50:54.2428Z [Apr 04] ( 24.960,  90.730)      61553           164       5       9    76240
2011-094T11:50:54.5382Z [Apr 04] ( 23.881,  88.634)      52871            32       4      10    76240
2011-094T11:50:54.7297Z [Apr 04] ( 25.124,  90.768)      67340            46       3      10    76240
2011-094T11:50:55.1915Z [Apr 04] ( 25.049,  90.635)      37190            96       2       7    76240
2011-094T11:50:55.2096Z [Apr 04] ( 24.348,  89.794)     116549           166       8      21    76240
2011-094T11:50:55.8382Z [Apr 04] ( 23.363,  88.088)     115727           182       4      15    76240
2011-094T11:50:55.8613Z [Apr 04] ( 23.675,  88.588)     509903           477      15      51    76240
2011-094T11:50:56.1498Z [Apr 04] ( 23.135,  87.927)     106178           440      13      20    76240
2011-094T11:50:56.3714Z [Apr 04] ( 23.276,  88.008)     297856           542      13      44    76240
2011-094T11:50:57.1990Z [Apr 04] ( 23.725,  88.513)    1183728           549      36     125    76240
2011-094T11:50:57.3136Z [Apr 04] ( 24.938,  90.857)      98622           121       4      14    76240
2011-094T11:50:57.6910Z [Apr 04] ( 25.077,  90.641)     338665           594      12      43    76240
2011-094T11:50:57.8864Z [Apr 04] ( 24.940,  90.784)      56834           245       3       7    76240
2011-094T11:50:57.9724Z [Apr 04] ( 25.514,  90.791)     155800            51       5      17    76240
2011-094T11:50:58.8623Z [Apr 04] ( 23.162,  87.792)      27572           216       3       6    76240
2011-094T11:50:58.9357Z [Apr 04] ( 23.211,  88.062)      76251           198       6      14    76240
2011-094T11:50:59.0251Z [Apr 04] ( 23.046,  87.592)      33151           114       3       6    76240
2011-094T11:50:59.2739Z [Apr 04] ( 23.313,  88.109)      43394            43       3       6    76240
2011-094T11:50:59.3869Z [Apr 04] ( 24.963,  90.828)      61631           148       4      10    76240
2011-094T11:50:59.4940Z [Apr 04] ( 23.613,  88.413)     331263           401      17      43    76240
2011-094T11:50:59.9130Z [Apr 04] ( 24.979,  90.701)     413465           458      13      45    76240
2011-094T11:50:59.9221Z [Apr 04] ( 23.852,  88.894)     439144           295      17      47    76240
2011-094T11:50:59.9291Z [Apr 04] ( 23.540,  88.378)     137906           442       9      22    76240
2011-094T11:51:00.4608Z [Apr 04] ( 23.500,  88.293)     263036           415       8      29    76240
2011-094T11:51:00.5703Z [Apr 04] ( 22.745,  87.570)      39407            23       3       7    76240
2011-094T11:51:00.6151Z [Apr 04] ( 25.404,  90.732)     170649           458      10      19    76240
2011-094T11:51:01.2130Z [Apr 04] ( 23.948,  89.396)      38459            98       2       7    76240
2011-094T11:51:01.3959Z [Apr 04] ( 23.358,  87.978)      61914           320       5      12    76240
2011-094T11:51:01.4422Z [Apr 04] ( 23.402,  87.988)      65986            64       7      12    76240
2011-094T11:51:01.6125Z [Apr 04] ( 23.756,  88.596)     548248           481      11      45    76240
2011-094T11:51:02.0814Z [Apr 04] ( 23.459,  88.212)      65169           227       7      13    76240
2011-094T11:51:02.3216Z [Apr 04] ( 23.404,  88.071)     215672           413      14      31    76240
2011-094T11:51:02.7457Z [Apr 04] ( 23.069,  87.878)      55847           164       6       8    76240
2011-094T11:51:02.8602Z [Apr 04] ( 25.040,  90.890)     379019           342       7      33    76240
2011-094T11:51:02.9120Z [Apr 04] ( 23.203,  88.076)      34263            80       2       8    76240
2011-094T11:51:03.7663Z [Apr 04] ( 24.304,  90.013)      54031           159       4       9    76240
2011-094T11:51:03.8416Z [Apr 04] ( 23.252,  88.073)       8447             0       1       2    76240
2011-094T11:51:03.8718Z [Apr 04] ( 24.371,  89.728)    1387212           642      33     100    76240
2011-094T11:51:04.4647Z [Apr 04] ( 25.204,  90.914)     754388           936      32      87    76240
2011-094T11:51:04.9552Z [Apr 04] ( 25.200,  90.759)      52485            98       3       8    76240
2011-094T11:51:05.4582Z [Apr 04] ( 23.876,  88.932)      52427           150       4       9    76240
2011-094T11:51:05.5748Z [Apr 04] ( 23.678,  88.537)     125327           454       5      21    76240
2011-094T11:51:05.9150Z [Apr 04] ( 24.967,  90.756)     499346           168       5      33    76240
2011-094T11:51:07.0823Z [Apr 04] ( 24.169,  89.431)     295046           152       7      26    76240
2011-094T11:51:07.2290Z [Apr 04] ( 23.575,  88.536)      58934           171       6      10    76240
2011-094T11:51:07.4456Z [Apr 04] ( 24.065,  89.549)      61901           279       5      10    76240
2011-094T11:51:07.4511Z [Apr 04] ( 24.937,  90.695)    1468248           544      10      78    76240
2011-094T11:51:07.5496Z [Apr 04] ( 24.056,  89.610)     409266           173      10      59    76240
2011-094T11:51:07.8486Z [Apr 04] ( 24.918,  90.806)      80162             0       1       6    76240
2011-094T11:51:07.9632Z [Apr 04] ( 23.814,  88.917)      97571            53      10      15    76240
2011-094T11:51:09.3275Z [Apr 04] ( 24.452,  89.675)     245376           295      17      38    76240
2011-094T11:51:10.3049Z [Apr 04] ( 25.195,  90.827)      23614             0       1       3    76240
2011-094T11:51:10.3788Z [Apr 04] ( 24.893,  90.861)      69913             0       1       6    76240
2011-094T11:51:10.5345Z [Apr 04] ( 25.132,  90.735)     246188           431      15      31    76240
2011-094T11:51:11.0642Z [Apr 04] ( 25.048,  90.823)      53241             2       2       7    76240
2011-094T11:51:11.6355Z [Apr 04] ( 24.931,  90.718)      41892           139       3       6    76240
2011-094T11:51:13.2631Z [Apr 04] ( 25.064,  90.849)      13884             0       1       2    76240
2011-094T11:51:13.4812Z [Apr 04] ( 24.339,  89.739)       9516             0       1       2    76240
2011-094T11:51:14.0812Z [Apr 04] ( 25.445,  90.823)       4333             0       1       1    76240
2011-094T11:51:14.1903Z [Apr 04] ( 24.943,  90.754)      59007            84       3       8    76240
2011-094T11:51:14.2335Z [Apr 04] ( 23.919,  89.416)     499909           331      10      61    76240
2011-094T11:51:14.7797Z [Apr 04] ( 24.919,  90.815)       9455             0       1       1    76240
2011-094T11:51:15.3023Z [Apr 04] ( 25.030,  90.814)      38352           194       3       6    76240
2011-094T11:51:15.4867Z [Apr 04] ( 25.061,  90.679)      86428           213       3      16    76240
