Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2011-047T11:06:22.0159Z [Feb 16] ( 25.936,  89.001)     138636            91       8      13    75507
2011-047T11:06:22.2827Z [Feb 16] ( 25.674,  88.712)     135131           193       6      11    75507
2011-047T11:06:22.3129Z [Feb 16] ( 25.909,  89.117)      91794            93       2       8    75507
2011-047T11:06:22.3722Z [Feb 16] ( 26.907,  88.266)   22823760           250      47     482    75507
2011-047T11:06:22.4722Z [Feb 16] ( 26.987,  88.306)     138265           245       7      21    75507
2011-047T11:06:22.5049Z [Feb 16] ( 27.134,  88.232)     177349            71       9      25    75507
2011-047T11:06:22.8290Z [Feb 16] ( 25.972,  89.014)     166044            10       2      13    75507
2011-047T11:06:22.8410Z [Feb 16] ( 27.027,  88.421)      79608           347       6      13    75507
2011-047T11:06:25.9963Z [Feb 16] ( 25.722,  87.555)     142978            92       5      11    75507
2011-047T11:06:27.0741Z [Feb 16] ( 25.694,  88.748)     152261           182       5      14    75507
2011-047T11:06:27.2762Z [Feb 16] ( 25.990,  89.059)     165920            71       3      13    75507
2011-047T11:06:27.7113Z [Feb 16] ( 25.747,  87.550)      51996             1       2       6    75507
2011-047T11:06:28.2917Z [Feb 16] ( 26.103,  89.047)    1235165           442      23      97    75507
2011-047T11:06:29.7560Z [Feb 16] ( 26.005,  89.015)     511128           250       8      29    75507
2011-047T11:06:30.2198Z [Feb 16] ( 26.313,  87.680)      58485           476       6      10    75507
2011-047T11:06:30.7982Z [Feb 16] ( 25.928,  89.125)      89005            21       2       9    75507
2011-047T11:06:31.1042Z [Feb 16] ( 26.084,  88.887)     160916            50       4      16    75507
2011-047T11:06:31.8816Z [Feb 16] ( 25.062,  87.555)    2014828           341      23      76    75507
2011-047T11:06:32.9414Z [Feb 16] ( 25.305,  87.583)     238727           273      11      24    75507
2011-047T11:06:33.5680Z [Feb 16] ( 25.635,  88.684)      97024           139       6      12    75507
2011-047T11:06:33.6002Z [Feb 16] ( 25.983,  89.100)     151844            60       7      13    75507
2011-047T11:06:33.9389Z [Feb 16] ( 25.713,  87.634)      35104             0       1       3    75507
2011-047T11:06:34.3399Z [Feb 16] ( 26.408,  87.733)      97518           194       8      15    75507
2011-047T11:06:34.4545Z [Feb 16] ( 25.609,  88.717)     156288           168       5      12    75507
2011-047T11:06:35.0454Z [Feb 16] ( 25.681,  88.739)     114084           234       4      12    75507
2011-047T11:06:37.1363Z [Feb 16] ( 25.680,  88.724)      85699            84       2       5    75507
2011-047T11:06:37.5750Z [Feb 16] ( 26.067,  89.040)     224114           234       8      26    75507
2011-047T11:06:38.3037Z [Feb 16] ( 27.012,  88.450)     185870           136       7      21    75507
2011-047T11:06:40.5760Z [Feb 16] ( 26.741,  90.345)    2349501           189      20     134    75507
2011-047T11:06:40.7765Z [Feb 16] ( 26.672,  90.298)     406704           247       5      38    75507
2011-047T11:06:40.7871Z [Feb 16] ( 26.641,  90.210)    4107383           392      55     295    75507
2011-047T11:06:40.8157Z [Feb 16] ( 26.756,  90.171)     957999           132       6      56    75507
2011-047T11:06:40.8624Z [Feb 16] ( 26.785,  90.117)    3560400            43      14     162    75507
2011-047T11:06:40.9197Z [Feb 16] ( 26.784,  90.259)     987800            89      12      82    75507
2011-047T11:06:41.0488Z [Feb 16] ( 26.816,  89.924)   32203756          1498     126    1133    75507
2011-047T11:06:41.1885Z [Feb 16] ( 26.567,  90.311)     381000            42       6      31    75507
2011-047T11:06:41.1936Z [Feb 16] ( 26.531,  90.236)      86505            11       3      13    75507
2011-047T11:06:42.1086Z [Feb 16] ( 26.776,  89.637)   11690815           596      62     484    75507
2011-047T11:06:42.1317Z [Feb 16] ( 26.760,  89.652)   25309308           581      64     679    75507
2011-047T11:06:42.1966Z [Feb 16] ( 26.708,  89.801)    2237137           531      34     160    75507
2011-047T11:06:42.1966Z [Feb 16] ( 26.880,  89.548)     569977            28       7      41    75507
2011-047T11:06:42.2373Z [Feb 16] ( 25.734,  87.657)     111495           122       7      14    75507
2011-047T11:06:42.3684Z [Feb 16] ( 25.906,  89.066)      78505            85       5       8    75507
2011-047T11:06:42.8267Z [Feb 16] ( 26.353,  88.212)     132803           374       7      17    75507
2011-047T11:06:43.4478Z [Feb 16] ( 26.083,  88.922)    1119747           479      23      85    75507
2011-047T11:06:43.7453Z [Feb 16] ( 25.984,  88.998)     572096           198      14      41    75507
2011-047T11:06:43.7684Z [Feb 16] ( 25.702,  88.785)      94973           171       3       9    75507
2011-047T11:06:44.0156Z [Feb 16] ( 26.345,  87.704)    1336618           467      25      68    75507
2011-047T11:06:44.4181Z [Feb 16] ( 25.666,  88.859)      60305           208       4       5    75507
2011-047T11:06:45.0860Z [Feb 16] ( 25.098,  87.576)     207227           310      16      25    75507
2011-047T11:06:45.3744Z [Feb 16] ( 25.640,  88.690)      79189           121       6       8    75507
2011-047T11:06:46.7980Z [Feb 16] ( 25.689,  87.676)     246293           193      16      29    75507
2011-047T11:06:47.5035Z [Feb 16] ( 25.981,  89.100)      56236            76       4       7    75507
2011-047T11:06:48.9322Z [Feb 16] ( 25.586,  88.824)      43679           118       4       6    75507
2011-047T11:06:49.1864Z [Feb 16] ( 27.008,  90.315)     116558           189       2      10    75507
2011-047T11:06:49.4462Z [Feb 16] ( 25.648,  88.707)      96103           466       8      14    75507
2011-047T11:06:51.3653Z [Feb 16] ( 25.674,  87.669)      20384             0       1       2    75507
2011-047T11:06:51.8311Z [Feb 16] ( 26.011,  89.027)     230088           205       2      13    75507
2011-047T11:06:52.7045Z [Feb 16] ( 25.908,  89.092)     145819           335       7      15    75507
2011-047T11:06:53.2417Z [Feb 16] ( 26.841,  87.903)    1110352           356      25      81    75507
2011-047T11:06:53.5246Z [Feb 16] ( 26.758,  87.930)      88529            75       3       9    75507
2011-047T11:06:54.5522Z [Feb 16] ( 25.704,  87.595)      72664            86       2       6    75507
2011-047T11:06:55.0110Z [Feb 16] ( 25.584,  88.845)      46761            33       2       6    75507
2011-047T11:06:55.3869Z [Feb 16] ( 25.060,  87.552)     102285           125       3       9    75507
2011-047T11:06:56.4914Z [Feb 16] ( 25.982,  89.139)     768394           347      16      47    75507
2011-047T11:06:57.1039Z [Feb 16] ( 25.651,  88.737)      82848           144       5       9    75507
2011-047T11:06:57.7074Z [Feb 16] ( 26.362,  88.248)      53224            80       2       8    75507
2011-047T11:06:58.3516Z [Feb 16] ( 26.108,  89.132)    4810872          1033     100     394    75507
2011-047T11:06:58.6240Z [Feb 16] ( 25.574,  88.838)      62282            30       4      10    75507
2011-047T11:06:58.6652Z [Feb 16] ( 25.643,  88.708)     152616            80       4      13    75507
2011-047T11:06:58.7476Z [Feb 16] ( 26.216,  89.031)      35091             5       4       6    75507
2011-047T11:06:59.4707Z [Feb 16] ( 25.957,  89.043)     143048            71       6      15    75507
2011-047T11:07:00.3858Z [Feb 16] ( 26.312,  92.087)    4083419           463      41     138    75507
2011-047T11:07:01.4245Z [Feb 16] ( 25.714,  87.572)      44868            69       3       6    75507
2011-047T11:07:01.7536Z [Feb 16] ( 26.713,  92.200)     352377           154      10      25    75507
2011-047T11:07:02.1833Z [Feb 16] ( 27.177,  90.297)   82865848           451      88    1022    75507
2011-047T11:07:02.3878Z [Feb 16] ( 27.168,  90.490)     121839             7       3      11    75507
2011-047T11:07:02.3913Z [Feb 16] ( 27.165,  90.428)     290304             1       2      22    75507
2011-047T11:07:02.4235Z [Feb 16] ( 27.273,  90.375)     272682             9       6      31    75507
2011-047T11:07:02.7797Z [Feb 16] ( 27.283,  90.415)     270291           291       6      32    75507
2011-047T11:07:02.9320Z [Feb 16] ( 25.665,  88.731)     474520           193       8      28    75507
2011-047T11:07:03.2204Z [Feb 16] ( 26.036,  89.084)      60098             0       1       6    75507
2011-047T11:07:03.9380Z [Feb 16] ( 26.070,  89.079)      46399           120       3       7    75507
