Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2012-006T15:58:26.4533Z [Jan 06] ( 21.458,  88.093)    8900583           472      84     423    80560
2012-006T15:58:26.6126Z [Jan 06] ( 21.382,  88.072)       4870             0       1       1    80560
2012-006T15:58:26.6322Z [Jan 06] ( 21.537,  88.177)     187732           313      13      25    80560
2012-006T15:58:26.7448Z [Jan 06] ( 21.561,  88.027)     208778           179       4      17    80560
2012-006T15:59:48.6613Z [Jan 06] ( 21.391,  88.154)     393115           418      14      52    80560
2012-013T11:08:11.7670Z [Jan 13] ( 26.061,  92.200)    3620548           208      31     141    80666
2012-013T11:08:15.1871Z [Jan 13] ( 26.760,  91.116)      67349           130       4      13    80666
2012-013T11:09:01.5785Z [Jan 13] ( 26.089,  92.246)     289190           284      20      49    80666
2012-020T01:23:06.7697Z [Jan 20] ( 24.665,  90.004)    3850813           286      45     112    80769
2012-020T01:23:06.8662Z [Jan 20] ( 24.715,  90.107)     264464           173       9      20    80769
2012-020T01:23:06.9717Z [Jan 20] ( 24.658,  90.107)      34028            39       3       6    80769
2012-039T16:36:19.5269Z [Feb 08] ( 26.027,  88.039)     330466           614      13      33    81075
2012-039T16:36:34.0709Z [Feb 08] ( 26.228,  88.258)     775648           331      25      63    81075
2012-039T16:36:34.1779Z [Feb 08] ( 26.219,  88.323)      37086           100       4       6    81075
2012-039T16:36:34.8478Z [Feb 08] ( 26.179,  88.293)     217638           194       9      27    81075
2012-039T16:36:35.3060Z [Feb 08] ( 26.235,  88.286)      17965             9       2       3    81075
2012-039T16:36:45.2506Z [Feb 08] ( 26.211,  88.361)     409270           298      14      32    81075
2012-039T16:36:54.9013Z [Feb 08] ( 26.286,  88.628)      94560           189      12      14    81075
2012-039T16:36:59.3575Z [Feb 08] ( 26.206,  88.598)     730388           186      11      41    81075
2012-039T16:37:09.4880Z [Feb 08] ( 26.465,  87.846)    6134134           367      57     240    81075
2012-039T16:37:10.9347Z [Feb 08] ( 26.310,  88.750)      69881            73       5       9    81075
2012-039T16:37:13.3679Z [Feb 08] ( 26.298,  88.826)     330623           449      17      45    81075
2012-039T16:37:24.0572Z [Feb 08] ( 26.112,  88.631)    3755454           365      45     169    81075
2012-039T16:37:35.4736Z [Feb 08] ( 26.252,  88.779)     229802           121      10      28    81075
2012-039T16:38:04.3124Z [Feb 08] ( 26.334,  88.876)      13228           148       3       3    81075
2012-048T11:33:20.9347Z [Feb 17] ( 26.969,  89.122)     243317            82       7      19    81212
2012-048T11:33:23.5829Z [Feb 17] ( 26.936,  89.420)     747858           356      28      69    81212
2012-048T11:33:26.1985Z [Feb 17] ( 27.030,  89.060)     168951           196       8      16    81212
2012-048T11:33:42.5370Z [Feb 17] ( 26.832,  90.456)      87233           164       9      15    81212
2012-048T11:33:45.2138Z [Feb 17] ( 26.963,  89.416)     408872           294       7      29    81212
2012-048T11:33:45.5967Z [Feb 17] ( 26.922,  89.525)      30391             0       1       3    81212
2012-048T11:33:46.5510Z [Feb 17] ( 26.914,  89.154)      60915             7       4       8    81212
2012-048T11:33:46.6676Z [Feb 17] ( 26.989,  89.140)     165051           223       8      19    81212
2012-048T11:34:00.2985Z [Feb 17] ( 27.267,  88.461)     362532           176       7      22    81212
2012-048T11:34:01.8312Z [Feb 17] ( 26.968,  89.438)     186781           304       8      16    81212
2012-048T11:34:01.8472Z [Feb 17] ( 26.985,  89.164)      41413           157       3       6    81212
2012-048T11:34:05.3010Z [Feb 17] ( 26.974,  89.504)      35222            19       4       6    81212
2012-048T11:34:06.2713Z [Feb 17] ( 26.846,  90.500)      60330            80       5      10    81212
2012-048T11:34:12.6546Z [Feb 17] ( 27.037,  89.159)    3083132           519      33     129    81212
2012-048T11:34:12.7903Z [Feb 17] ( 27.034,  89.267)     228275             2       2      18    81212
2012-048T11:34:16.9460Z [Feb 17] ( 26.870,  90.500)     235231           120       9      21    81212
2012-048T11:34:23.4816Z [Feb 17] ( 26.903,  90.457)     113395           204       9      13    81212
2012-048T11:34:26.2851Z [Feb 17] ( 26.955,  89.514)     297421           261      14      35    81212
2012-048T11:34:29.7052Z [Feb 17] ( 26.867,  90.492)     144511           137       6      18    81212
2012-048T11:34:30.9906Z [Feb 17] ( 26.900,  90.539)      62756            69       3       6    81212
2012-048T11:34:31.2162Z [Feb 17] ( 26.990,  89.456)     362494           240      12      31    81212
2012-048T11:34:44.3049Z [Feb 17] ( 26.988,  89.448)     197075           178       5      13    81212
2012-048T11:34:46.5230Z [Feb 17] ( 26.896,  90.481)      22000             0       1       2    81212
2012-048T11:34:46.5914Z [Feb 17] ( 26.976,  89.558)     120078           225       6      14    81212
2012-048T11:34:53.5596Z [Feb 17] ( 26.917,  90.484)     181278           403      11      16    81212
2012-048T11:34:54.5340Z [Feb 17] ( 26.928,  90.548)      53426            23       2       5    81212
2012-048T11:34:57.4505Z [Feb 17] ( 26.880,  90.529)      37456            92       3       6    81212
2012-060T05:20:52.6360Z [Feb 29] ( 27.406,  91.589)     252336           377       8      18    81395
2012-060T11:51:49.8857Z [Feb 29] ( 26.950,  89.076)      54458           118       5       6    81399
2012-060T11:51:53.7530Z [Feb 29] ( 26.775,  90.015)    2710211           958      57     217    81399
2012-060T11:51:54.8238Z [Feb 29] ( 26.932,  90.287)    1238439           508      23      91    81399
2012-060T11:51:55.5112Z [Feb 29] ( 27.015,  89.087)     105227           265      10      18    81399
2012-060T11:52:02.4242Z [Feb 29] ( 27.102,  91.074)      10434             0       1       2    81399
2012-060T11:52:02.4549Z [Feb 29] ( 26.984,  89.028)      60262           213       7      10    81399
2012-060T11:52:03.0187Z [Feb 29] ( 27.139,  91.145)      15990             4       2       3    81399
2012-060T11:52:06.1362Z [Feb 29] ( 26.998,  88.994)     493158           168      11      43    81399
2012-060T11:52:07.1171Z [Feb 29] ( 26.807,  90.221)     132016           428      10      18    81399
2012-060T11:52:09.7688Z [Feb 29] ( 27.026,  89.219)      47711             2       2       7    81399
2012-060T11:52:09.8065Z [Feb 29] ( 27.038,  89.308)      51621             1       2       9    81399
2012-060T11:52:12.1663Z [Feb 29] ( 27.030,  91.144)      18790             0       1       2    81399
2012-060T11:52:14.7844Z [Feb 29] ( 26.978,  89.057)      63106             1       2       5    81399
2012-060T11:52:16.0537Z [Feb 29] ( 26.946,  89.115)      63406            39       2       5    81399
2012-060T11:52:20.2431Z [Feb 29] ( 26.927,  89.096)     125457           188       8      13    81399
2012-060T11:52:25.1671Z [Feb 29] ( 26.957,  89.105)     248283           341      15      27    81399
2012-060T11:52:26.3380Z [Feb 29] ( 27.005,  89.131)      36884            18       2       4    81399
2012-060T11:52:30.8947Z [Feb 29] ( 26.971,  89.081)     105974           123       2       8    81399
2012-060T11:52:32.0409Z [Feb 29] ( 26.992,  89.038)     441572           640      18      45    81399
2012-060T11:52:33.7972Z [Feb 29] ( 26.782,  90.000)     148425            35       5      14    81399
