Flash time (UTC)                 (    Lat,     Lon)   Radiance  Milliseconds  Groups  Events Orbit-ID
2012-060T11:52:35.3801Z [Feb 29] ( 27.010,  89.148)     315607           336      19      43    81399
2012-060T11:52:40.2700Z [Feb 29] ( 26.230,  91.833)     169303           348      13      21    81399
2012-060T11:52:40.8750Z [Feb 29] ( 26.956,  91.083)     832181           331      28      74    81399
2012-060T11:52:41.4478Z [Feb 29] ( 26.964,  89.125)      46254            59       4       7    81399
2012-060T11:52:42.2252Z [Feb 29] ( 27.424,  87.507)    6132990          1270      75     347    81399
2012-060T11:52:43.8418Z [Feb 29] ( 27.001,  89.141)      49900           166       7       9    81399
2012-060T11:52:44.4935Z [Feb 29] ( 26.902,  89.146)      17190             0       1       1    81399
2012-060T11:52:45.8006Z [Feb 29] ( 26.955,  89.095)      73743           216       5       9    81399
2012-060T11:52:47.0307Z [Feb 29] ( 27.314,  87.587)     265756           347       8      26    81399
2012-060T11:52:50.3608Z [Feb 29] ( 26.930,  89.123)      14158            89       3       3    81399
2012-060T11:52:58.1084Z [Feb 29] ( 26.891,  90.423)     251201           363      11      34    81399
2012-060T11:52:58.3733Z [Feb 29] ( 26.945,  89.121)     333431           567      20      37    81399
2012-060T11:52:58.5883Z [Feb 29] ( 26.218,  91.850)     255469           198      13      24    81399
2012-060T11:52:59.7572Z [Feb 29] ( 26.867,  90.563)    3009988           610      41     201    81399
2012-060T11:52:59.9456Z [Feb 29] ( 26.819,  90.409)     105863            40       6      12    81399
2012-060T11:53:02.1370Z [Feb 29] ( 26.935,  89.071)      96809           315       5      11    81399
2012-060T11:53:03.8360Z [Feb 29] ( 26.797,  90.292)     100113           264       6      11    81399
2012-060T11:53:07.5048Z [Feb 29] ( 26.930,  88.951)      51797             0       1       4    81399
2012-060T11:53:07.7395Z [Feb 29] ( 26.895,  89.184)     354421           389      20      45    81399
2012-060T11:53:11.1661Z [Feb 29] ( 26.813,  90.422)      32968             0       1       3    81399
2012-060T11:53:21.5725Z [Feb 29] ( 26.814,  90.439)      39759           121       4       6    81399
2012-060T11:53:30.0055Z [Feb 29] ( 26.195,  91.902)     189769           261      11      24    81399
2012-060T11:53:38.7502Z [Feb 29] ( 26.906,  91.180)      12010            14       2       3    81399
2012-060T11:53:42.3742Z [Feb 29] ( 26.191,  91.949)       8084           104       2       2    81399
2012-062T11:39:06.3173Z [Mar 02] ( 22.033,  89.360)      39905            14       4       7    81430
2012-062T11:40:23.1847Z [Mar 02] ( 21.984,  90.120)    1925127           309      35     100    81430
2012-063T10:43:44.7559Z [Mar 03] ( 21.425,  90.575)     660439           182      11      31    81445
2012-063T10:43:49.3076Z [Mar 03] ( 21.439,  90.579)     108494           123       3      10    81445
2012-063T10:43:49.4488Z [Mar 03] ( 23.388,  92.190)     260327           410      11      28    81445
2012-063T10:43:51.0443Z [Mar 03] ( 23.299,  92.132)     200851           196      10      16    81445
2012-063T10:43:54.5679Z [Mar 03] ( 21.437,  90.562)     109914           250       7      15    81445
2012-063T10:43:56.1593Z [Mar 03] ( 21.498,  90.530)     265703            64       6      17    81445
2012-063T10:43:59.0980Z [Mar 03] ( 21.460,  90.573)    1467955           413      23      65    81445
2012-063T10:44:01.6884Z [Mar 03] ( 21.428,  90.571)     131277           102       2       9    81445
2012-063T10:44:05.1225Z [Mar 03] ( 21.472,  90.322)     978031           161      10      39    81445
2012-063T10:44:05.3768Z [Mar 03] ( 21.452,  90.590)     136320           170       9      12    81445
2012-063T10:44:10.9059Z [Mar 03] ( 21.459,  90.605)     314197           310      13      32    81445
2012-063T10:44:12.8521Z [Mar 03] ( 21.409,  90.619)     348187            91       6      25    81445
2012-063T10:44:18.5389Z [Mar 03] ( 21.443,  90.595)     179361           125       7      12    81445
2012-063T10:44:19.3088Z [Mar 03] ( 23.276,  92.132)     179194            87       7      13    81445
2012-063T10:44:21.6650Z [Mar 03] ( 23.274,  92.150)     255021           107      10      21    81445
2012-063T10:44:24.4936Z [Mar 03] ( 21.443,  90.589)     307939           202      13      23    81445
2012-063T10:44:27.8991Z [Mar 03] ( 20.900,  92.329)      98518           102       8       9    81445
2012-063T10:44:29.0343Z [Mar 03] ( 21.435,  90.587)     164234           234      10      16    81445
2012-063T10:44:31.2528Z [Mar 03] ( 21.453,  90.634)     319674           302       7      17    81445
2012-063T10:44:33.3423Z [Mar 03] ( 21.418,  90.601)     296743           139      10      21    81445
2012-063T10:44:37.3171Z [Mar 03] ( 21.428,  90.613)     505922           256       9      31    81445
2012-063T10:44:44.5542Z [Mar 03] ( 21.439,  90.638)    1610832           322      15      66    81445
2012-063T10:44:44.9446Z [Mar 03] ( 23.299,  92.206)      63959           187       4       6    81445
2012-063T10:44:48.6582Z [Mar 03] ( 21.423,  90.619)     134839           145       2       9    81445
2012-063T10:44:49.0501Z [Mar 03] ( 23.234,  92.214)      39683            48       2       3    81445
2012-063T10:44:50.1677Z [Mar 03] ( 23.356,  92.270)     229227           375      12      24    81445
2012-063T10:44:51.0611Z [Mar 03] ( 20.896,  92.344)    3085007           488      38     166    81445
2012-063T10:44:54.4360Z [Mar 03] ( 21.446,  90.632)     360295           282      10      24    81445
2012-063T10:44:55.3244Z [Mar 03] ( 21.421,  90.627)      58085            73       3      10    81445
2012-063T10:45:01.9007Z [Mar 03] ( 21.458,  90.682)     137535            73       2      12    81445
2012-063T10:45:06.0383Z [Mar 03] ( 23.239,  92.229)     158329           187       4      11    81445
2012-063T10:45:08.8368Z [Mar 03] ( 21.405,  90.656)      44782           308       4       7    81445
2012-063T10:45:12.1800Z [Mar 03] ( 21.435,  90.660)     145591           128       5      12    81445
2012-063T10:45:14.4287Z [Mar 03] ( 20.881,  92.372)    1340122           287      24     104    81445
2012-063T10:45:16.2442Z [Mar 03] ( 23.218,  92.231)      43770            92       4       6    81445
2012-063T10:45:20.9568Z [Mar 03] ( 23.287,  92.261)      77020            60       4       8    81445
2012-067T08:38:48.1630Z [Mar 07] ( 24.542,  92.354)     342837           408      19      32    81506
2012-067T08:39:03.7668Z [Mar 07] ( 24.419,  92.215)     371272           395      19      25    81506
2012-067T08:39:18.2681Z [Mar 07] ( 24.521,  92.377)      52397           127       5       6    81506
2012-067T08:40:16.3975Z [Mar 07] ( 24.427,  92.482)    1794941           773      56     117    81506
2012-068T01:11:34.0314Z [Mar 08] ( 25.048,  92.489)     158162           222       9      14    81517
2012-068T07:43:18.0388Z [Mar 08] ( 24.052,  91.031)      49511           216       5       6    81521
2012-068T07:43:21.2865Z [Mar 08] ( 24.501,  92.413)     232944           313      10      20    81521
2012-068T07:43:21.3152Z [Mar 08] ( 25.030,  92.271)     568466           284       8      28    81521
2012-068T07:43:23.7041Z [Mar 08] ( 24.437,  92.381)      11560             0       1       1    81521
2012-068T07:43:38.5486Z [Mar 08] ( 24.433,  92.421)     124161           139       5      11    81521
2012-068T07:43:42.6988Z [Mar 08] ( 24.042,  91.064)     108638             3       3       8    81521
2012-068T07:43:49.5460Z [Mar 08] ( 24.440,  92.431)      93006            74       4       6    81521
2012-068T07:43:51.4866Z [Mar 08] ( 24.194,  91.505)    1576861           413      29      92    81521
2012-068T07:43:56.6363Z [Mar 08] ( 24.431,  92.401)     133190             1       2       8    81521
2012-068T07:44:02.4965Z [Mar 08] ( 24.450,  92.448)      89695            48       5       9    81521
2012-068T07:44:07.2141Z [Mar 08] ( 24.506,  92.434)     310417           392      15      29    81521
2012-068T07:44:14.9652Z [Mar 08] ( 24.446,  92.485)      99995            10       3       9    81521
2012-068T07:44:17.4094Z [Mar 08] ( 24.146,  92.065)     392745           176       9      25    81521
2012-070T07:29:51.0120Z [Mar 10] ( 23.491,  90.019)     176480           265       4      12    81552
2012-070T07:30:23.2065Z [Mar 10] ( 23.464,  90.046)     143939           139       7       8    81552
2012-077T20:48:26.7440Z [Mar 17] ( 25.096,  90.457)     167198            84       7      19    81670
2012-077T20:48:41.8860Z [Mar 17] ( 25.053,  90.375)    1744261           556      53     138    81670
2012-077T20:48:45.7734Z [Mar 17] ( 25.145,  90.526)    9336369           751      85     354    81670
2012-077T20:48:53.2844Z [Mar 17] ( 25.060,  90.339)     133698           395      10      23    81670
2012-077T20:49:10.4655Z [Mar 17] ( 25.101,  90.419)     110015           222       8      11    81670
2012-077T20:49:17.0584Z [Mar 17] ( 25.152,  90.535)     222657           100       9      28    81670
2012-077T20:49:20.7036Z [Mar 17] ( 25.223,  91.242)     931622           306      38      96    81670
2012-077T20:49:27.2693Z [Mar 17] ( 25.136,  90.421)     297583           268       8      46    81670
2012-077T20:49:28.8648Z [Mar 17] ( 25.148,  90.547)     182275            62      11      24    81670
2012-077T20:49:37.4230Z [Mar 17] ( 25.061,  90.349)      99523           392      12      20    81670
2012-077T20:49:42.8606Z [Mar 17] ( 25.159,  90.425)     150342           104       5      21    81670
2012-077T20:49:45.3460Z [Mar 17] ( 25.236,  90.601)    2288532           639      42     172    81670
2012-077T20:49:45.4340Z [Mar 17] ( 25.243,  90.686)     110590             3       3      11    81670
2012-077T20:49:57.6413Z [Mar 17] ( 25.160,  90.538)     353531           528      15      39    81670
2012-077T20:49:57.8474Z [Mar 17] ( 25.186,  90.481)      32782            74       2       6    81670
2012-078T03:21:06.0609Z [Mar 18] ( 22.783,  91.845)     128408            82       9      16    81674
2012-078T03:21:10.6428Z [Mar 18] ( 22.902,  92.025)    1184309           579      15      60    81674
2012-078T03:21:11.0634Z [Mar 18] ( 22.870,  91.976)      57504           227       5       7    81674
2012-078T03:21:19.0954Z [Mar 18] ( 22.777,  91.910)     479947           342      19      33    81674
2012-078T03:21:23.1024Z [Mar 18] ( 22.968,  91.984)     157001           268       8      16    81674
2012-078T03:21:23.2783Z [Mar 18] ( 23.012,  91.974)     242855           107       8      23    81674
2012-078T03:21:23.3733Z [Mar 18] ( 23.053,  92.069)      99604           105       4      10    81674
2012-078T03:21:35.8133Z [Mar 18] ( 22.856,  91.897)     140999           127       7      13    81674
2012-078T03:21:36.9485Z [Mar 18] ( 22.764,  91.873)     208532             5       4      12    81674
2012-078T03:21:37.7791Z [Mar 18] ( 22.895,  92.009)     537004           521      16      37    81674
2012-078T03:21:49.2689Z [Mar 18] ( 22.903,  92.031)     479163           234      22      46    81674
2012-078T03:21:51.4855Z [Mar 18] ( 22.791,  91.876)     785632           318      17      49    81674
2012-078T03:22:00.6542Z [Mar 18] ( 22.835,  91.957)     460373           345      13      39    81674
2012-078T03:22:10.2727Z [Mar 18] ( 22.796,  91.926)    1573695           331      37      78    81674
2012-078T03:22:12.9711Z [Mar 18] ( 22.894,  92.051)    3943058           771      73     210    81674
2012-078T03:22:13.1410Z [Mar 18] ( 22.941,  92.183)      58915             2       2       5    81674
2012-078T03:22:13.1912Z [Mar 18] ( 22.917,  92.201)     191027             3       3      12    81674
2012-078T03:22:13.4314Z [Mar 18] ( 22.829,  92.066)      84713           294       5      11    81674
2012-078T03:22:17.5258Z [Mar 18] ( 22.851,  92.042)      69835           107       4       7    81674
2012-078T03:22:29.6729Z [Mar 18] ( 22.857,  91.943)     389006           227      10      24    81674
2012-078T03:22:39.0261Z [Mar 18] ( 22.787,  91.935)     191804            35       6      10    81674
2012-086T15:44:30.2334Z [Mar 26] ( 26.473,  91.729)      90833           245       6      13    81807
2012-086T15:44:41.3775Z [Mar 26] ( 26.422,  91.729)      14984            42       2       4    81807
2012-086T15:44:48.7075Z [Mar 26] ( 26.384,  91.727)      24294            85       2       5    81807
2012-086T15:45:29.8387Z [Mar 26] ( 26.439,  91.750)      28046             0       1       4    81807
2012-086T15:45:53.4926Z [Mar 26] ( 26.496,  91.743)      13732             0       1       2    81807
2012-086T22:16:12.8187Z [Mar 26] ( 26.988,  90.855)    1060516           375      18      86    81811
2012-086T22:16:34.4406Z [Mar 26] ( 25.305,  92.363)     347639           207      15      49    81811
2012-086T22:16:48.1449Z [Mar 26] ( 25.274,  92.315)    3077598           832      22     265    81811
2012-086T22:16:48.9755Z [Mar 26] ( 25.321,  92.386)     217226             0       1      31    81811
2012-086T22:16:54.6157Z [Mar 26] ( 25.288,  92.341)     503664           213       6      29    81811
2012-086T22:17:04.2985Z [Mar 26] ( 25.285,  92.408)    1264850           718      35     140    81811
2012-086T22:17:08.4864Z [Mar 26] ( 25.201,  92.263)     605428           539      19      76    81811
2012-086T22:17:20.1244Z [Mar 26] ( 25.223,  92.419)     361972           386      22      49    81811
2012-086T22:17:32.0775Z [Mar 26] ( 25.288,  92.415)     643971           258      17      59    81811
2012-086T22:17:47.9235Z [Mar 26] ( 25.259,  92.416)    1762358           384      27      99    81811
2012-086T22:18:01.9500Z [Mar 26] ( 25.289,  92.450)     600617           474      26      56    81811
2012-088T15:30:28.2492Z [Mar 28] ( 27.477,  87.990)     234840           258       7      40    81838
2012-088T15:30:37.6460Z [Mar 28] ( 27.458,  88.002)     633632           102       8      95    81838
2012-088T15:30:40.7274Z [Mar 28] ( 27.480,  88.676)      68003            96       5      16    81838
2012-088T15:30:47.7389Z [Mar 28] ( 27.470,  88.674)     100682            18       2      21    81838
2012-088T15:30:56.1237Z [Mar 28] ( 27.491,  88.000)     103645             1       2      15    81838
2012-088T15:30:57.2890Z [Mar 28] ( 27.448,  88.689)      25056             0       1       7    81838
2012-088T15:31:10.2933Z [Mar 28] ( 27.486,  88.032)      64782            28       3      12    81838
2012-089T14:35:00.1491Z [Mar 29] ( 27.401,  88.691)     108708           485       9      20    81853
2012-089T14:35:00.1777Z [Mar 29] ( 27.138,  88.459)      40694             0       1      10    81853
2012-089T14:35:00.1818Z [Mar 29] ( 27.179,  88.476)      24291            10       2       5    81853
2012-089T14:35:00.3928Z [Mar 29] ( 27.246,  88.605)       7206             0       1       2    81853
2012-089T14:35:01.5531Z [Mar 29] ( 27.295,  88.855)      52878           164       6      12    81853
2012-089T14:35:04.8078Z [Mar 29] ( 27.246,  88.636)      77299           229       9      17    81853
2012-089T14:35:04.8244Z [Mar 29] ( 27.326,  88.674)       5644             0       1       1    81853
2012-089T14:35:05.2073Z [Mar 29] ( 27.348,  88.696)      55517             0       1       6    81853
2012-089T14:35:09.1269Z [Mar 29] ( 27.239,  89.180)      77133             1       2       9    81853
2012-089T14:35:09.7962Z [Mar 29] ( 27.229,  88.956)      93136             0       1      15    81853
2012-089T14:35:09.7982Z [Mar 29] ( 27.295,  88.991)       7121             0       1       1    81853
2012-089T14:35:11.5866Z [Mar 29] ( 27.340,  89.006)     104326           111       2      12    81853
2012-089T14:35:13.2931Z [Mar 29] ( 27.271,  88.644)      11507             0       1       2    81853
2012-089T14:35:14.3856Z [Mar 29] ( 27.359,  88.936)     101085           151       6      16    81853
2012-089T14:35:15.7031Z [Mar 29] ( 27.362,  89.054)      18620           186       4       5    81853
2012-089T14:35:15.9735Z [Mar 29] ( 27.300,  88.946)       8581             0       1       2    81853
2012-089T14:35:16.8474Z [Mar 29] ( 27.328,  88.668)      11414            55       3       3    81853
2012-089T14:35:16.8705Z [Mar 29] ( 27.326,  88.721)     171116           302       9      28    81853
2012-089T14:35:18.1936Z [Mar 29] ( 27.363,  88.968)      10691             0       1       2    81853
2012-089T14:35:18.5609Z [Mar 29] ( 27.298,  88.903)      43559           128       2       8    81853
2012-089T14:35:20.4282Z [Mar 29] ( 27.245,  89.476)      66107           200       4      13    81853
2012-089T14:35:21.0709Z [Mar 29] ( 27.265,  88.591)      15719           354       3       4    81853
2012-089T14:35:21.6940Z [Mar 29] ( 27.353,  88.985)      10061             0       1       2    81853
2012-089T14:35:21.8729Z [Mar 29] ( 27.238,  88.974)     199491             1       2      29    81853
2012-089T14:35:23.4739Z [Mar 29] ( 27.200,  89.596)     340068           458      26      64    81853
2012-089T14:35:23.8156Z [Mar 29] ( 27.335,  88.971)      11430             0       1       2    81853
2012-089T14:35:26.4819Z [Mar 29] ( 27.243,  88.661)      75481           211       4      13    81853
2012-089T14:35:27.0367Z [Mar 29] ( 27.376,  89.005)      53941             0       1       6    81853
2012-089T14:35:27.3769Z [Mar 29] ( 27.275,  89.345)       7910            14       2       2    81853
2012-089T14:35:29.4180Z [Mar 29] ( 27.309,  88.972)      15803             0       1       3    81853
2012-089T14:35:29.9587Z [Mar 29] ( 27.115,  89.507)     545997           227       5      53    81853
2012-089T14:35:30.2241Z [Mar 29] ( 27.203,  89.354)      11447           169       2       3    81853
2012-089T14:35:30.2884Z [Mar 29] ( 27.246,  88.621)     347316           175       9      26    81853
2012-089T14:35:30.3889Z [Mar 29] ( 27.159,  89.339)     143458            24       2      21    81853
2012-089T14:35:31.5165Z [Mar 29] ( 27.319,  89.027)    1185380           739      40     134    81853
2012-089T14:35:32.6160Z [Mar 29] ( 27.272,  88.911)      60020            98       2      12    81853
2012-089T14:35:33.6959Z [Mar 29] ( 27.265,  88.673)      14154           146       2       3    81853
2012-089T14:35:34.4496Z [Mar 29] ( 27.201,  89.175)     199990             0       1      19    81853
2012-089T14:35:34.4743Z [Mar 29] ( 27.254,  89.165)     163352           201      10      31    81853
2012-089T14:35:35.5793Z [Mar 29] ( 27.334,  88.913)      19220            28       3       5    81853
2012-089T14:35:36.3330Z [Mar 29] ( 27.381,  89.024)     452236           349      17      58    81853
2012-089T14:35:36.6019Z [Mar 29] ( 27.209,  88.566)       4274             0       1       1    81853
2012-089T14:35:39.4179Z [Mar 29] ( 27.371,  88.962)      68514            66       4      13    81853
2012-089T14:35:41.3194Z [Mar 29] ( 27.261,  88.929)      53582            25       2      11    81853
2012-089T14:35:43.5470Z [Mar 29] ( 27.176,  89.602)     835441           524      39     109    81853
2012-089T14:35:45.0098Z [Mar 29] ( 27.270,  88.685)       4340             0       1       1    81853
2012-089T14:35:45.0706Z [Mar 29] ( 27.338,  88.939)      34953           157       2       7    81853
2012-089T14:35:45.7203Z [Mar 29] ( 27.361,  89.065)    1220490           991      37     143    81853
2012-089T14:35:50.3258Z [Mar 29] ( 27.292,  88.982)     453309           320      16      39    81853
2012-089T14:35:52.2846Z [Mar 29] ( 27.244,  89.167)      74818            14       2       5    81853
2012-089T14:35:52.7896Z [Mar 29] ( 27.277,  89.460)     630361           549      35      99    81853
2012-089T14:35:52.8554Z [Mar 29] ( 27.370,  89.015)      10759            94       2       2    81853
2012-089T14:35:53.1634Z [Mar 29] ( 27.409,  88.961)       5025             0       1       1    81853
2012-089T14:35:53.3891Z [Mar 29] ( 27.229,  88.532)     362009           700      18      41    81853
2012-089T14:35:54.9468Z [Mar 29] ( 27.382,  89.012)      80762           252       9      12    81853
2012-089T14:35:58.0659Z [Mar 29] ( 27.332,  88.903)     150391           365      13      19    81853
2012-089T14:35:58.1714Z [Mar 29] ( 27.215,  89.346)      21268             0       1       2    81853
2012-089T14:35:58.5619Z [Mar 29] ( 27.289,  88.652)      21524             7       2       4    81853
2012-089T14:35:59.2031Z [Mar 29] ( 27.066,  89.781)    2171062           590      61     188    81853
2012-089T14:36:00.4865Z [Mar 29] ( 27.355,  88.997)      19466             0       1       3    81853
2012-089T14:36:01.0613Z [Mar 29] ( 27.371,  88.926)      15620             0       1       1    81853
2012-089T14:36:02.8859Z [Mar 29] ( 27.368,  89.011)     416587           350      15      36    81853
2012-089T14:36:04.0799Z [Mar 29] ( 27.194,  88.455)      80021             2       2      10    81853
2012-089T14:36:04.4115Z [Mar 29] ( 27.235,  89.581)     403293           393      20      46    81853
2012-089T14:36:06.6316Z [Mar 29] ( 27.277,  89.366)      68098           243       5       9    81853
2012-089T14:36:07.6557Z [Mar 29] ( 27.352,  88.996)      10759             0       1       2    81853
2012-089T14:36:10.5436Z [Mar 29] ( 27.304,  89.212)    1151164           843      28      95    81853
2012-089T14:36:10.8552Z [Mar 29] ( 27.373,  89.071)     131216           637      14      23    81853
2012-089T14:36:11.0346Z [Mar 29] ( 27.337,  89.063)     272524           422      18      45    81853
2012-089T14:36:11.0612Z [Mar 29] ( 27.358,  88.628)      45282           223       5       8    81853
2012-089T14:36:11.1813Z [Mar 29] ( 27.343,  89.256)     422146           549       8      36    81853
2012-089T14:36:12.4974Z [Mar 29] ( 27.337,  88.918)      20095            78       4       4    81853
2012-089T14:36:12.5009Z [Mar 29] ( 27.269,  88.942)      25770             0       1       5    81853
2012-089T14:36:12.7210Z [Mar 29] ( 27.158,  89.535)      89515           296       8      13    81853
2012-089T14:36:14.3933Z [Mar 29] ( 27.370,  88.963)      38109           391       5       8    81853
2012-089T14:36:15.7556Z [Mar 29] ( 27.295,  88.649)      25165            96       4       5    81853
2012-089T14:36:17.3943Z [Mar 29] ( 27.470,  88.659)       5025             0       1       1    81853
2012-089T14:36:17.9938Z [Mar 29] ( 27.380,  88.981)     182435           166       6      16    81853
2012-089T14:36:20.1013Z [Mar 29] ( 27.361,  88.680)     413647           764      32      60    81853
2012-089T14:36:22.2017Z [Mar 29] ( 27.228,  89.352)     200502           227      15      25    81853
2012-089T14:36:22.2193Z [Mar 29] ( 27.445,  90.421)     241089           306       9      41    81853
